Country,Year,Developed,Medals,,,,,,,,,
Djibouti,1964,F,0,,,,,,,,,
Djibouti,1968,F,0,,,,,,,,,
Djibouti,1972,F,0,,,,,,,,,
Djibouti,1976,F,0,,,,,,,,,
Djibouti,1980,F,0,,,,,,,,,
Djibouti,1984,F,0,,,,,,,,,
Djibouti,1988,F,1,,,,,,,,,
Djibouti,1992,F,0,,,,,,,,,
Djibouti,1996,F,0,,,,,,,,,
Djibouti,2000,F,0,,,,,,,,,
Djibouti,2004,F,0,,,,,,,,,
Djibouti,2008,F,0,,,,,,,,,
Djibouti,2012,F,0,,,,,,,,,
Dominican Republic,1948,F,0,,,,,,,,,
Dominican Republic,1952,F,0,,,,,,,,,
Dominican Republic,1956,F,0,,,,,,,,,
Dominican Republic,1960,F,0,,,,,,,,,
Dominican Republic,1964,F,0,,,,,,,,,
Dominican Republic,1968,F,0,,,,,,,,,
Dominican Republic,1972,F,0,,,,,,,,,
Dominican Republic,1976,F,0,,,,,,,,,
Dominican Republic,1980,F,0,,,,,,,,,
Dominican Republic,1984,F,1,,,,,,,,,
Dominican Republic,1988,F,0,,,,,,,,,
Dominican Republic,1992,F,0,,,,,,,,,
Dominican Republic,1996,F,0,,,,,,,,,
Dominican Republic,2000,F,0,,,,,,,,,
Dominican Republic,2004,F,1,,,,,,,,,
Dominican Republic,2008,F,2,,,,,,,,,
Dominican Republic,2012,F,2,,,,,,,,,
Ecuador,1948,F,0,,,,,,,,,
Ecuador,1952,F,0,,,,,,,,,
Ecuador,1956,F,0,,,,,,,,,
Ecuador,1960,F,0,,,,,,,,,
Ecuador,1964,F,0,,,,,,,,,
Ecuador,1968,F,0,,,,,,,,,
Ecuador,1972,F,0,,,,,,,,,
Ecuador,1976,F,0,,,,,,,,,
Ecuador,1980,F,0,,,,,,,,,
Ecuador,1984,F,0,,,,,,,,,
Ecuador,1988,F,0,,,,,,,,,
Ecuador,1992,F,0,,,,,,,,,
Ecuador,1996,F,1,,,,,,,,,
Ecuador,2000,F,0,,,,,,,,,
Ecuador,2004,F,0,,,,,,,,,
Ecuador,2008,F,1,,,,,,,,,
Ecuador,2012,F,0,,,,,,,,,
Egypt,1948,F,5,,,,,,,,,
Egypt,1952,F,1,,,,,,,,,
Egypt,1956,F,0,,,,,,,,,
Egypt,1960,F,2,,,,,,,,,
Egypt,1964,F,0,,,,,,,,,
Egypt,1968,F,0,,,,,,,,,
Egypt,1972,F,0,,,,,,,,,
Egypt,1976,F,0,,,,,,,,,
Egypt,1980,F,0,,,,,,,,,
Egypt,1984,F,1,,,,,,,,,
Egypt,1988,F,0,,,,,,,,,
Egypt,1992,F,0,,,,,,,,,
Egypt,1996,F,0,,,,,,,,,
Egypt,2000,F,0,,,,,,,,,
Egypt,2004,F,5,,,,,,,,,
Egypt,2008,F,1,,,,,,,,,
Egypt,2012,F,4,,,,,,,,,
Eritrea,1948,F,0,,,,,,,,,
Eritrea,1952,F,0,,,,,,,,,
Eritrea,1956,F,0,,,,,,,,,
Eritrea,1960,F,0,,,,,,,,,
Eritrea,1964,F,0,,,,,,,,,
Eritrea,1968,F,0,,,,,,,,,
Eritrea,1972,F,0,,,,,,,,,
Eritrea,1976,F,0,,,,,,,,,
Eritrea,1980,F,0,,,,,,,,,
Eritrea,1984,F,0,,,,,,,,,
Eritrea,1988,F,0,,,,,,,,,
Eritrea,1992,F,0,,,,,,,,,
Eritrea,1996,F,0,,,,,,,,,
Eritrea,2000,F,0,,,,,,,,,
Eritrea,2004,F,1,,,,,,,,,
Eritrea,2008,F,0,,,,,,,,,
Eritrea,2012,F,0,,,,,,,,,
Estonia,1948,F,0,,,,,,,,,
Estonia,1952,T,0,,,,,,,,,
Estonia,1956,T,0,,,,,,,,,
Estonia,1960,T,0,,,,,,,,,
Estonia,1964,T,0,,,,,,,,,
Estonia,1968,T,0,,,,,,,,,
Estonia,1972,T,0,,,,,,,,,
Estonia,1976,T,0,,,,,,,,,
Estonia,1980,T,0,,,,,,,,,
Estonia,1984,T,0,,,,,,,,,
Estonia,1988,T,0,,,,,,,,,
Estonia,1992,T,3,,,,,,,,,
Estonia,1996,T,0,,,,,,,,,
Estonia,2000,T,3,,,,,,,,,
Estonia,2004,T,3,,,,,,,,,
Estonia,2008,T,3,,,,,,,,,
Estonia,2012,T,2,,,,,,,,,
Ethiopia,1948,F,0,,,,,,,,,
Ethiopia,1952,F,0,,,,,,,,,
Ethiopia,1956,F,0,,,,,,,,,
Ethiopia,1960,F,1,,,,,,,,,
Ethiopia,1964,F,1,,,,,,,,,
Ethiopia,1968,F,2,,,,,,,,,
Ethiopia,1972,F,2,,,,,,,,,
Ethiopia,1976,F,0,,,,,,,,,
Ethiopia,1980,F,4,,,,,,,,,
Ethiopia,1984,F,0,,,,,,,,,
Ethiopia,1988,F,0,,,,,,,,,
Ethiopia,1992,F,3,,,,,,,,,
Ethiopia,1996,F,3,,,,,,,,,
Ethiopia,2000,F,8,,,,,,,,,
Ethiopia,2004,F,7,,,,,,,,,
Ethiopia,2008,F,7,,,,,,,,,
Ethiopia,2012,F,7,,,,,,,,,
Finland,1948,F,29,,,,,,,,,
